中国电信-湖北-组播,#genre#
四川卫视,http://119.100.148.10:8888/udp/239.69.1.169:10650
广西卫视,http://119.100.148.10:8888/udp/239.69.1.191:10788
吉林卫视,http://119.100.148.10:8888/udp/239.69.1.212:10914
CHC-高清电影,http://119.100.148.10:8888/udp/239.69.1.241:11088
CHC-动作电影,http://119.100.148.10:8888/udp/239.69.1.242:11094
CHC-家庭影院,http://119.100.148.10:8888/udp/239.69.1.243:11100
武汉一台新闻综合,http://119.100.148.10:8888/udp/239.69.1.145:10506
武汉二台电视剧,http://119.100.148.10:8888/udp/239.69.1.146:10512
武汉三台科技生活,http://119.100.148.10:8888/udp/239.69.1.251:11148
武汉四台经济,http://119.100.148.10:8888/udp/239.69.1.35:9850
武汉五台文体,http://119.100.148.10:8888/udp/239.69.1.147:10518
武汉六台外语,http://119.100.148.10:8888/udp/239.69.1.36:9856
武汉教育,http://119.100.148.10:8888/udp/239.69.1.60:9994
蔡甸综合,http://119.100.148.10:8888/udp/239.69.1.245:11112
阳新综合,http://119.100.148.10:8888/udp/239.69.1.34:9844
房县综合,http://119.100.148.10:8888/udp/239.69.1.192:10794
卡酷少儿,http://119.100.148.10:8888/udp/239.69.1.193:10800
梨园频道,http://119.100.148.10:8888/udp/239.69.1.33:9838
武术世界,http://119.100.148.10:8888/udp/239.69.1.47:9922
快乐垂钓,http://119.100.148.10:8888/udp/239.69.1.142:10488
茶频道,http://119.100.148.10:8888/udp/239.69.1.144:10500
金鹰卡通,http://119.100.148.10:8888/udp/239.69.1.248:11130
金鹰纪实,http://119.100.148.10:8888/udp/239.69.1.109:10292
CETV1,http://119.100.148.10:8888/udp/239.69.1.110:10298
CCTV16-4K,http://119.100.148.10:8888/udp/239.69.1.13:9718
