Smartv,#genre#
tvNMovie,https://127.0.0.1:8080/smartv/Tvnmovie.m3u8
TVN,https://127.0.0.1:8080/smartv/TVN.m3u8
RTHK32,https://127.0.0.1:8080/smartv/rhk32_twn.m3u8
RTHK31,https://127.0.0.1:8080/smartv/rhk31_twn.m3u8
J2,https://127.0.0.1:8080/smartv/j2_twn.m3u8
无线财经资讯,https://127.0.0.1:8080/smartv/tvbcaijing_twn.m3u8
民视第一,https://127.0.0.1:8080/smartv/lunghuajingdian_twn.m3u8
龙华偶像,https://127.0.0.1:8080/smartv/lunghuaidol_twn.m3u8
龙华卡通,https://127.0.0.1:8080/smartv/jingtiancartoon_twn.m3u8
非凡新闻,https://127.0.0.1:8080/smartv/feifannews_twn.m3u8
美食星球,https://127.0.0.1:8080/smartv/foodplanet_twn.m3u8
Arirang,https://127.0.0.1:8080/smartv/arirang_twn.m3u8
爱尔达体育2,https://127.0.0.1:8080/smartv/eltasport2_twn.m3u8
爱尔达体育1,https://127.0.0.1:8080/smartv/eltasport_twn.m3u8
民视新闻,https://127.0.0.1:8080/smartv/ftvnew_taiwan.m3u8
民视台湾,https://127.0.0.1:8080/smartv/ftvtaiwan_twn.m3u8
民视,https://127.0.0.1:8080/smartv/ftvhd_taiwan.m3u8
年代新闻,https://127.0.0.1:8080/smartv/niandainews_twn.m3u8
好消息 2,https://127.0.0.1:8080/smartv/good2_twn.m3u8
大爱1台,https://127.0.0.1:8080/smartv/daai_twn.m3u8
博斯高球2,https://127.0.0.1:8080/smartv/bosigolf2_twn.m3u8
博斯运动 2,https://127.0.0.1:8080/smartv/bosisport2_twn.m3u8
博斯运动 1,https://127.0.0.1:8080/smartv/bosisport1_twn.m3u8
博斯网球,https://127.0.0.1:8080/smartv/bositennis_twn.m3u8
华视,https://127.0.0.1:8080/smartv/ctshd_twn.m3u8
公视,https://127.0.0.1:8080/smartv/ctv_taiwan.m3u8
八大综合,https://127.0.0.1:8080/smartv/badazhonghe.m3u8
中视新闻,https://127.0.0.1:8080/smartv/zhongshinews_twn.m3u8
中视,https://127.0.0.1:8080/smartv/zhongshihd_twn.m3u8
中天新闻,https://127.0.0.1:8080/smartv/ctinews.m3u8
中天娱乐,https://127.0.0.1:8080/smartv/ctient.m3u8
中天亚洲,https://127.0.0.1:8080/smartv/ctiasia_twn.m3u8
东森超视,https://127.0.0.1:8080/smartv/ettvsuper.m3u8
东森财经新闻,https://127.0.0.1:8080/smartv/ettvcaijing_twn.m3u8
东森戏剧,https://127.0.0.1:8080/smartv/ettvdrama.m3u8
三立综合,https://127.0.0.1:8080/smartv/sanlizhonghe.m3u8
三立戏剧,https://127.0.0.1:8080/smartv/sanlixiju_twn.m3u8
东森电影,https://127.0.0.1:8080/smartv/ettvmovie.m3u8
东森综合,https://127.0.0.1:8080/smartv/ettvzhonghe.m3u8
中天综合,https://127.0.0.1:8080/smartv/ctizhonghe.m3u8
八大综合,https://127.0.0.1:8080/smartv/badazhonghe.m3u8
八大戏剧,https://127.0.0.1:8080/smartv/badadrama.m3u8
八大第一,https://127.0.0.1:8080/smartv/badafirst.m3u8
八大第一,https://127.0.0.1:8080/smartv/badafirst.m3u8
小太阳,https://127.0.0.1:8080/smartv/Xiaotaiyang.m3u8
靖天卡通,https://127.0.0.1:8080/smartv/jingtiancartoon_twn.m3u8
靖天国际,https://127.0.0.1:8080/smartv/jingtianintl_twn.m3u8
TVBS News,https://127.0.0.1:8080/smartv/tvbs_n.m3u8
TVBS,https://127.0.0.1:8080/smartv/tvbs.m3u8
EYETV戏剧,https://127.0.0.1:8080/smartv/eyetvxiju_twn.m3u8
EYETV旅游,https://127.0.0.1:8080/smartv/eyetvtravel_twn.m3u8
TVBS欢乐,https://127.0.0.1:8080/smartv/tvbshuanle_twn.m3u8
Viu6,https://127.0.0.1:8080/smartv/viusix_twn.m3u8
国家地理,https://127.0.0.1:8080/smartv/natgeohd_twn.m3u8
野生动物,https://127.0.0.1:8080/smartv/natgeowild_twn.m3u8
Momo TV,https://127.0.0.1:8080/smartv/momo1_twn.m3u8
亚洲旅游,https://127.0.0.1:8080/smartv/asiatravel_twn.m3u8
AXNTaiwan,https://127.0.0.1:8080/smartv/axn_twn.m3u8
动物星球1,https://127.0.0.1:8080/smartv/animalplanet_twn.m3u8
CINEMAX,https://127.0.0.1:8080/smartv/cinemax_twn.m3u8
CNBC,https://127.0.0.1:8080/smartv/cnbc_twn.m3u8
DiscoveryAsia,https://127.0.0.1:8080/smartv/discoverytwn_twn.m3u8
DiscoveryHD,https://127.0.0.1:8080/smartv/discoveryhd_twn.m3u8
