中国联通-黑龙江-组播,#genre#
移动电视,http://175.172.204.27:8888/udp/232.0.0.165:1234
家有购物,http://175.172.204.27:8888/udp/232.0.0.225:1234
央广购物,http://175.172.204.27:8888/udp/232.0.0.240:1234
聚鲨环球精选,http://175.172.204.27:8888/udp/232.0.0.207:1234
沈阳新闻综合,http://175.172.204.27:8888/udp/232.0.0.206:1234
CCTV中视购物,http://175.172.204.27:8888/udp/232.0.0.202:1234
北京卫视,http://175.172.204.27:8888/udp/232.0.0.117:1234
天津卫视,http://175.172.204.27:8888/udp/232.0.0.125:1234
上海东方卫视,http://175.172.204.27:8888/udp/232.0.0.122:1234
浙江卫视,http://175.172.204.27:8888/udp/232.0.0.123:1234
江苏卫视,http://175.172.204.27:8888/udp/232.0.0.116:1234
安徽卫视,http://175.172.204.27:8888/udp/232.0.0.141:1234
湖南卫视,http://175.172.204.27:8888/udp/232.0.0.115:1234
贵州卫视,http://175.172.204.27:8888/udp/232.0.0.181:1234
山东卫视,http://175.172.204.27:8888/udp/232.0.0.131:1234
山西卫视,http://175.172.204.27:8888/udp/232.0.0.86:1234
广东卫视,http://175.172.204.27:8888/udp/232.0.0.130:1234
广西卫视,http://175.172.204.27:8888/udp/232.0.0.76:1234
湖北卫视,http://175.172.204.27:8888/udp/232.0.0.124:1234
江西卫视,http://175.172.204.27:8888/udp/232.0.0.82:1234
河北卫视,http://175.172.204.27:8888/udp/232.0.0.49:1234
河南卫视,http://175.172.204.27:8888/udp/232.0.0.80:1234
四川卫视,http://175.172.204.27:8888/udp/232.0.0.185:1234
重庆卫视,http://175.172.204.27:8888/udp/232.0.0.186:1234
福建东南卫视,http://175.172.204.27:8888/udp/232.0.0.74:1234
海南卫视,http://175.172.204.27:8888/udp/232.0.0.26:1234
青海卫视,http://175.172.204.27:8888/udp/232.0.0.101:1234
云南卫视,http://175.172.204.27:8888/udp/232.0.0.40:1234
陕西卫视,http://175.172.204.27:8888/udp/232.0.0.35:1234
内蒙古卫视,http://175.172.204.27:8888/udp/232.0.0.111:1234
